ra,dec,e1,e2,w,z_src
217.072620449,1.09858312949,0.0408,0.0691,14.6799,0.26
222.351853657,-1.55606643832,0.1798,0.0009,14.8211,0.57
218.677307078,-1.89776009158,0.1418,-0.0574,9.0838,0.63
224.522510158,0.636728273169,-0.1076,-0.1041,14.4125,0.66
214.167100042,1.41627925384,-0.0654,0.2185,12.9551,0.61
215.179108557,2.04905653955,-0.1179,-0.0926,11.624,0.78
217.113010553,2.19624626973,0.1308,0.0836,13.5708,0.12
223.902116325,1.84588346688,0.2185,0.2676,15.5346,0.35
213.893080577,2.65076100238,0.2349,-0.043,9.5688,0.86
216.043812603,-0.895557072752,-0.0361,-0.0179,11.278,1.04
215.83934785,-2.53810630837,0.0065,-0.1663,11.1654,0.79
214.711627118,-1.05948836399,-0.0399,-0.2692,14.0759,0.78
214.40797329,1.66118645267,0.1562,-0.702,1.2667,0.81
213.134392261,-1.09941318417,0.1519,-0.1563,14.9186,0.23
222.531335692,-2.18981536869,0.0138,-0.1732,10.7687,0.14
215.537939469,-2.22813592379,-0.1022,-0.3291,2.6426,0.43
219.552816464,-1.56009316785,0.0083,0.1333,14.7761,0.79
224.978631738,-0.232007853459,-0.3912,0.3098,13.9688,0.29
213.924066257,2.27617480937,0.3258,0.3465,14.7412,0.14
221.941213845,0.158434846155,0.1664,-0.3008,15.4984,0.42
210.273782302,2.33327567672,0.3006,-0.3755,2.7205,0.79
216.382996289,-2.94882198368,-0.447,0.2134,0.4225,0.82
219.272292226,0.308990543261,0.1601,-0.0597,15.4236,0.62
220.260635463,2.62199626391,0.2979,0.0305,0.8074,0.13
214.31010837,-1.92444528365,-0.4149,-0.4311,8.4005,0.19
220.953847574,-0.14916878976,0.7428,-0.0306,2.0067,0.65
216.865911327,0.205990111776,0.2003,0.0024,13.7892,0.35
218.46822119,-0.180980812827,-0.0533,-0.0721,14.5347,0.3
213.216608789,-1.51741030828,-0.074,0.095,5.468,0.13
216.067425467,-2.13138488761,-0.4761,-0.098,2.4733,0.48
222.898654844,0.488478510624,0.2475,0.6569,0.7239,0.78
